Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
Endless Love,4.9,0.064366879,0.011411965,0.060546394,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,364176000,6,328,0
Time Bandits,7.0,0.014044944,0.014880352,0.070585114,0.014044944,0.014044944,0.012820513,0.014044944,0.014044944,0.014044944,373852800,1,2387,1
The Four Seasons,6.8,0.063505062,0.017711024,0.067135972,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,359337600,4,39,0
Friday the 13th Part 2,6.1,0.003511236,0.007629399,0.06448195,0.002340824,0.003511236,0.001602564,0.003511236,0.005266854,0.003511236,357523200,10,242,1
Scanners,6.8,0.036025728,0.004996363,0.057592446,0.024017152,0.036025728,0.016442512,0.036025728,0.054038592,0.036025728,348278400,10,1190,0
For Your Eyes Only,6.7,0.078651685,0.019251311,0.066772345,0.078651685,0.078651685,0.071794872,0.078651685,0.078651685,0.078651685,362361600,0,2269,0
Halloween II,6.5,0.007022472,0.0089679,0.06540709,0.004681648,0.007022472,0.003205128,0.007022472,0.010533708,0.007022472,373248000,10,1107,1
Taps,6.8,0.039325843,0.012593239,0.064981639,0.01835206,0.056803995,0.008974359,0.039325843,0.039325843,0.039325843,378086400,6,884,0
Reds,7.3,0.08988764,0.014183058,0.060114571,0.041947566,0.109862672,0.020512821,0.08988764,0.08988764,0.08988764,378086400,3,2741,0
On Golden Pond,7.6,0.064366879,0.041895018,0.091899018,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,382320000,6,1442,1
The Fox and the Hound,7.3,0.033707865,0.022287145,0.075674547,0.017977528,0.026217228,0.046153846,0.04494382,0.042134831,0.033707865,363571200,2,1902,1
Chariots of Fire,7.2,0.015449438,0.020828321,0.07652214,0.007209738,0.018882647,0.003525641,0.015449438,0.015449438,0.015449438,387158400,3,224,1
Absence of Malice,6.9,0.033707865,0.014300471,0.067460043,0.015730337,0.048689139,0.007692308,0.033707865,0.033707865,0.033707865,377481600,6,2091,0
Tarzan the Ape Man,3.4,0.018258427,0.012842332,0.067947103,0.018258427,0.018258427,0.016666667,0.018258427,0.018258427,0.018258427,364780800,1,277,1
Victory,6.7,0.028089888,0.0038119,0.057394742,0.013108614,0.040574282,0.006410256,0.028089888,0.028089888,0.028089888,365385600,6,1851,0
Arthur,6.9,0.019662921,0.033527723,0.089041956,0.013108614,0.024032459,0.004487179,0.019662921,0.019662921,0.019662921,364176000,4,695,1
My Dinner with Andre,7.8,0.071102013,1.78e-06,0.047944583,0.03318094,0.086902461,0.016225844,0.071102013,0.071102013,0.071102013,371606400,3,114,0
Caveman,5.8,0.063505062,0.005607497,0.054687175,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,356313600,4,2227,0
Dead & Buried,6.6,0.008426966,0.016637974,0.073115346,0.005617978,0.008426966,0.003846154,0.008426966,0.012640449,0.008426966,371433600,10,1080,1
History of the World: Part I,6.9,0.030898876,0.011124049,0.064554245,0.020599251,0.037765293,0.007051282,0.030898876,0.030898876,0.030898876,361152000,4,1826,0
The Howling,6.6,0.002808989,0.006316943,0.063222365,0.001872659,0.002808989,0.001282051,0.002808989,0.004213483,0.002808989,355708800,10,623,1
Dragonslayer,6.7,0.050561798,0.00495567,0.055681256,0.050561798,0.050561798,0.046153846,0.050561798,0.050561798,0.050561798,362361600,0,2125,0
Cutter's Way,6.9,0.008426966,0.000615554,0.056635865,0.004494382,0.010299625,0.003846154,0.008426966,0.012640449,0.008426966,382147200,5,1162,0
Quest for Fire,7.3,0.03511236,0.007362417,0.060143454,0.03511236,0.03511236,0.032051282,0.03511236,0.03511236,0.03511236,382320000,1,801,0
The Final Conflict,5.6,0.014044944,0.007189888,0.06267527,0.009363296,0.014044944,0.006410256,0.014044944,0.021067416,0.014044944,353894400,10,2330,1
Mommie Dearest,6.7,0.014044944,0.006684445,0.062155408,0.006554307,0.017166042,0.003205128,0.014044944,0.014044944,0.014044944,370224000,3,815,0
Private Lessons,5.2,0.007865169,0.00922962,0.065567905,0.005243446,0.009612984,0.001794872,0.007865169,0.007865169,0.007865169,360979200,4,2540,1
The Postman Always Rings Twice,6.6,0.033707865,0.004346876,0.057222508,0.017977528,0.041198502,0.015384615,0.033707865,0.050561798,0.033707865,353894400,5,1048,0
Ragtime,7.3,0.064366879,0.005240425,0.054198803,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,378086400,6,1076,0
Deadly Blessing,5.6,0.007022472,0.002907737,0.059174052,0.004681648,0.007022472,0.003205128,0.007022472,0.010533708,0.007022472,366595200,10,1723,0
Eyewitness,6.0,0.023876404,0.002247786,0.056327863,0.012734082,0.029182272,0.010897436,0.023876404,0.035814607,0.023876404,350870400,5,2767,0
Gallipoli,7.4,0.128394351,0.002013379,0.042645779,0.128394351,0.128394351,0.117200998,0.128394351,0.128394351,0.128394351,367804800,1,1827,0
Outland,6.6,0.04494382,0.006102245,0.05758301,0.04494382,0.04494382,0.041025641,0.04494382,0.04494382,0.04494382,359337600,0,2387,0
Southern Comfort,7.2,0.163158987,0.051105022,0.088667101,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,370224000,0,1467,0
S.O.B.,6.4,0.033707865,0.005221567,0.058122151,0.02247191,0.041198502,0.007692308,0.033707865,0.033707865,0.033707865,362793600,4,1392,0
