Title,score,budget,Marketing Amount,gross,Profitability,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded
The Quick and the Dead,6.4,32000000,12000000,18636537,-13363463,14400000,9600000,2400000,1280000,4000000,792374400,0,2432
Hackers,6.2,20000000,5000000,7563728,-12436272,11000000,1500000,1500000,800000,2500000,811123200,4,1344
La Haine,8.1,22363565.63,4472713.126,302606,-22060959.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,825033600,5,2724
Casper,6.1,50000000,12500000,287928194,237928194,27500000,3750000,3750000,2000000,6250000,801446400,4,259
"To Wong Foo Thanks for Everything, Julie Newmar",6.6,22607802.13,5651950.532,47774193,25166390.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,810518400,4,2749
Heavyweights,6.6,22607802.13,5651950.532,17689177,-4918625.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,792979200,4,2648
Tank Girl,5.4,25000000,9375000,4064495,-20935505,11250000,7500000,1875000,1000000,3125000,796608000,0,1655
Now and Then,6.8,22607802.13,5651950.532,37591674,14983871.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,814147200,4,450
Pocahontas,6.7,55000000,11000000,346079773,291079773,19250000,24750000,5500000,2750000,6875000,803865600,2,1827
A Goofy Movie,6.9,18000000,3600000,35348597,17348597,6300000,8100000,1800000,900000,2250000,797212800,2,252
Dangerous Minds,6.5,23000000,4025000,179519401,156519401,12650000,1725000,1725000,920000,2875000,808099200,3,1897
Crimson Tide,7.3,53000000,19875000,157387195,104387195,23850000,15900000,3975000,2120000,6625000,800236800,0,878
To Die For,6.8,20000000,5000000,21284514,1284514,11000000,1500000,1500000,800000,2500000,812937600,4,2000
Sabrina,6.3,58000000,14500000,53672080,-4327920,31900000,4350000,4350000,2320000,7250000,818985600,4,960
Ghost in the Shell,8,75785197.13,15157039.43,516540,-75268657.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,828057600,2,191
While You Were Sleeping,6.7,17000000,4250000,182057016,165057016,9350000,1275000,1275000,680000,2125000,798422400,4,2348
Get Shorty,6.9,30250000,7562500,115101622,84851622,16637500,2268750,2268750,1210000,3781250,814147200,4,878
Tommy Boy,7.1,45708389.06,17140645.9,32679899,-13028490.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,796608000,1,426
Babe,6.8,30000000,7500000,254134910,224134910,16500000,2250000,2250000,1200000,3750000,807494400,4,1078
Dead Man Walking,7.5,11000000,2200000,39363635,28363635,6050000,1650000,825000,660000,1375000,823219200,5,2532
The Brady Bunch Movie,6.1,12000000,3000000,46576136,34576136,6600000,900000,900000,480000,1500000,792979200,4,2441
Johnny Mnemonic,5.7,26000000,9750000,19075720,-6924280,11700000,7800000,1950000,1040000,3250000,801446400,0,1460
Just Cause,6.4,58084599.21,21781724.7,36853222,-21231377.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,792979200,0,2387
The Bridges of Madison County,7.6,24000000,4200000,182016617,158016617,15600000,1800000,1800000,960000,3000000,802051200,6,484
Strange Days,7.2,42000000,15750000,7959291,-34040709,18900000,12600000,3150000,1680000,5250000,813542400,0,2169
Cutthroat Island,5.7,98000000,36750000,10017322,-87982678,44100000,29400000,7350000,3920000,12250000,819590400,0,875
Judge Dredd,5.6,90000000,33750000,113493481,23493481,40500000,27000000,6750000,3600000,11250000,804470400,0,2539
The City of Lost Children,7.5,18000000,5400000,1781465,-16218535,6300000,7200000,2250000,900000,2250000,818985600,8,2279
Copycat,6.6,20000000,3500000,32051917,12051917,13000000,1500000,1500000,800000,2500000,814752000,6,2456
Major Payne,6.3,45708389.06,17140645.9,30112050,-15596339.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,796003200,1,530
Powder,6.6,9500000,1662500,30862156,21362156,6175000,712500,712500,380000,1187500,814752000,6,1778
A Little Princess,7.7,17000000,2975000,10015449,-6984551,11050000,1275000,1275000,680000,2125000,800841600,6,1611
The American President,6.8,62000000,15500000,107879496,45879496,34100000,4650000,4650000,2480000,7750000,816566400,4,1857
Under Siege 2: Dark Territory,5.5,60000000,22500000,104324083,44324083,27000000,18000000,4500000,2400000,7500000,805680000,0,2516
Higher Learning,6.5,22363565.63,4472713.126,38290723,15927157.37,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,789782400,5,2039
Mr. Holland's Opus,7.3,23000000,4025000,106269971,83269971,14950000,1725000,1725000,920000,2875000,822009600,6,2209
The Prophecy,6.5,8000000,3000000,16115878,8115878,3600000,2400000,600000,320000,1000000,809913600,0,468
Dead Man,7.6,9000000,3375000,1037847,-7962153,4050000,2700000,675000,360000,1125000,831686400,1,1322
Ace Ventura: When Nature Calls,6.4,30000000,11250000,212385533,182385533,13500000,9000000,2250000,1200000,3750000,815961600,1,1236
Dolores Claiborne,7.4,22363565.63,4472713.126,24361867,1998301.37,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,796003200,5,1451
First Knight,6,55000000,20625000,127600435,72600435,24750000,16500000,4125000,2200000,6875000,805075200,0,2387
Jade,5.3,50000000,10000000,9851610,-40148390,27500000,7500000,3750000,3000000,6250000,813542400,5,591
The Big Green,5.6,12000000,3000000,17736619,5736619,6600000,900000,900000,480000,1500000,812332800,4,2507
Virtuosity,5.6,30000000,11250000,24047675,-5952325,13500000,9000000,2250000,1200000,3750000,807494400,0,640
Halloween: The Curse of Michael Myers,4.8,5000000,1250000,15116634,10116634,2250000,750000,375000,300000,625000,812332800,10,678
Father of the Bride Part II,6.1,30000000,7500000,76594107,46594107,16500000,2250000,2250000,1200000,3750000,818380800,4,2510
Assassins,6.3,50000000,18750000,30303072,-19696928,22500000,15000000,3750000,2000000,6250000,812937600,0,2539
French Kiss,6.6,22607802.13,5651950.532,101982854,79375051.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,799632000,4,1817
A Walk in the Clouds,6.7,20000000,3500000,50008143,30008143,13000000,1500000,1500000,800000,2500000,808099200,6,1460
It Takes Two,5.9,22607802.13,5651950.532,19474589,-3133213.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,816566400,4,1517
Rob Roy,6.9,28000000,10500000,31596911,3596911,12600000,8400000,2100000,1120000,3500000,797817600,1,1608
Dead Presidents,6.9,10000000,3750000,24147179,14147179,4500000,3000000,750000,400000,1250000,812937600,0,1560
The Baby-Sitters Club,5.8,6500000,1625000,9685976,3185976,3575000,487500,487500,260000,812500,808704000,4,2367
Waiting to Exhale,6,16000000,4000000,81452156,65452156,8800000,1200000,1200000,640000,2000000,819590400,4,2751
Welcome to the Dollhouse,7.4,800000,200000,4569019,3769019,440000,60000,60000,32000,100000,832896000,4,974
The Indian in the Cupboard,6,45000000,7875000,35656131,-9343869,29250000,3375000,3375000,1800000,5625000,805680000,6,948
Rumble in the Bronx,6.8,7500000,2812500,32392047,24892047,3375000,2250000,562500,300000,937500,825033600,0,1052
Devil in a Blue Dress,6.7,27000000,5400000,16140822,-10859178,14850000,4050000,2025000,1620000,3375000,812332800,5,640
How to Make an American Quilt,6.3,10000000,2500000,41200020,31200020,5500000,750000,750000,400000,1250000,812937600,4,2776
Kicking and Screaming,6.8,22607802.13,5651950.532,718490,-21889312.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,812937600,4,1357
Tales from the Crypt: Demon Knight,6.7,13000000,4875000,21089146,8089146,5850000,3900000,975000,520000,1625000,789955200,0,269
The Net,5.9,22000000,8250000,110627965,88627965,9900000,6600000,1650000,880000,2750000,806889600,0,2348
Living in Oblivion,7.5,500000,125000,1111790,611790,275000,37500,37500,20000,62500,806284800,4,2504
Dracula: Dead and Loving It,5.9,30000000,7500000,10772144,-19227856,16500000,2250000,2250000,1200000,3750000,819590400,4,1601
Tom and Huck,5.5,45708389.06,17140645.9,23920048,-21788341.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,819590400,1,1343
Village of the Damned,5.7,22000000,5500000,9418365,-12581635,9900000,3300000,1650000,1320000,2750000,799027200,10,466
Wild Bill,5.9,30000000,11250000,2193982,-27806018,13500000,9000000,2250000,1200000,3750000,817776000,0,1162
Grumpier Old Men,6.7,25000000,6250000,71518503,46518503,13750000,1875000,1875000,1000000,3125000,819590400,4,2738
Boys on the Side,6.5,21000000,5250000,23440188,2440188,11550000,1575000,1575000,840000,2625000,791769600,4,2752
Tales from the Hood,6.4,6000000,1200000,11837928,5837928,3300000,900000,450000,360000,750000,801273600,5,480
Money Train,5.7,68000000,25500000,35431113,-32568887,30600000,20400000,5100000,2720000,8500000,816998400,0,2749
Candyman: Farewell to the Flesh,5.3,6000000,1500000,13940383,7940383,2700000,900000,450000,360000,750000,795398400,10,2673
The Crossing Guard,6.3,9000000,1575000,868979,-8131021,5850000,675000,675000,360000,1125000,816480000,6,1048
Man of the House,5.2,22607802.13,5651950.532,40070995,17463192.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,794188800,4,411
Nixon,7.1,44000000,7700000,13681765,-30318235,24200000,3300000,3300000,1760000,5500000,820800000,3,162
Hideaway,5.3,15000000,4500000,12201255,-2798745,5250000,6000000,1875000,750000,1875000,794188800,8,1165
When Night Is Falling,6.5,22914608.79,4010056.539,919671,-21994937.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,816566400,6,2061
Underground,8.1,14000000,3500000,171082,-13828918,7700000,1050000,1050000,560000,1750000,866764800,4,2147
Mighty Aphrodite,7,15000000,3750000,6468498,-8531502,8250000,1125000,1125000,600000,1875000,815961600,4,2779
Balto,7.1,75785197.13,15157039.43,11349090,-64436107.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,819590400,2,1492
Total Eclipse,6.5,8000000,1400000,340139,-7659861,4400000,600000,600000,320000,1000000,815356800,3,1596
Fair Game,4.3,50000000,18750000,11534477,-38465523,22500000,15000000,3750000,2000000,6250000,815356800,0,2765
Lord of Illusions,6.1,12000000,3000000,13294422,1294422,5400000,1800000,900000,720000,1500000,809308800,10,2370
The Scarlet Letter,5.3,46000000,8050000,10382407,-35617593,29900000,3450000,3450000,1840000,5750000,813542400,6,629
Nick of Time,6.3,33000000,12375000,8175346,-24824654,14850000,9900000,2475000,1320000,4125000,816998400,0,1322
Senior Trip,5.7,45708389.06,17140645.9,4686937,-41021452.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,810518400,1,1792
Free Willy 2: The Adventure Home,5.1,45708389.06,17140645.9,30077111,-15631278.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,806112000,1,1133
Things to Do in Denver When You're Dead,6.8,7000000,1400000,529766,-6470234,3850000,1050000,525000,420000,875000,817776000,5,126
The Doom Generation,6.1,22607802.13,5651950.532,284785,-22323017.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,814752000,4,1079
Nine Months,5.5,22607802.13,5651950.532,138510230,115902427.9,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,805507200,4,1011
Safe,7.2,1000000,175000,512245,-487755,650000,75000,75000,40000,125000,804470400,6,1391
Sudden Death,5.8,35000000,13125000,64350171,29350171,15750000,10500000,2625000,1400000,4375000,819590400,0,1157
Circle of Friends,6.6,22914608.79,4010056.539,23389975,475366.208,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,797212800,6,434
Canadian Bacon,5.9,11000000,2750000,163971,-10836029,6050000,825000,825000,440000,1375000,811728000,4,1283
Screamers,6.4,20000000,5000000,5711695,-14288305,9000000,3000000,1500000,1200000,2500000,822614400,10,2133
Vampire in Brooklyn,4.6,20000000,5000000,19751736,-248264,11000000,1500000,1500000,800000,2500000,814752000,4,711
Murder in the First,7.3,22914608.79,4010056.539,17381942,-5532666.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,790560000,6,447
Richard III,7.4,22914608.79,4010056.539,2748518,-20166090.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,820195200,6,1021
The Day of the Beast,7.4,58084599.21,21781724.7,145508580.8,87423981.64,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,914371200,0,2813
A Kid in King Arthur's Court,4.7,15000000,5625000,13406717,-1593283,6750000,4500000,1125000,600000,1875000,808099200,1,2599
Othello,6.9,11000000,1925000,2844379,-8155621,7150000,825000,825000,440000,1375000,822009600,6,1576
Gold Diggers: The Secret of Bear Mountain,6,45708389.06,17140645.9,6029091,-39679298.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,815356800,1,450
Clockers,6.9,25000000,5000000,13071518,-11928482,13750000,3750000,1875000,1500000,3125000,810950400,5,967
Smoke,7.4,7000000,1750000,8367636,1367636,3850000,525000,525000,280000,875000,802656000,4,967
Something to Talk About,5.7,22607802.13,5651950.532,50865589,28257786.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,807494400,4,1381
Tall Tale,5.9,32000000,12000000,11047627,-20952373,14400000,9600000,2400000,1280000,4000000,796003200,1,2074
Kiss of Death,5.9,40000000,8000000,14942422,-25057578,22000000,6000000,3000000,2400000,5000000,798422400,5,591
Delta of Venus,4.8,22914608.79,4010056.539,63174,-22851434.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,813542400,6,194
Heavy,6.8,22914608.79,4010056.539,941414,-21973194.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,833932800,6,2151
Home for the Holidays,6.6,20000000,5000000,17519169,-2480831,11000000,1500000,1500000,800000,2500000,815356800,4,997
Angels and Insects,6.8,4997987,874647.725,3414301,-1583686,3248691.55,374849.025,374849.025,199919.48,624748.375,822614400,6,1750
The Cure,7.7,22914608.79,4010056.539,2568425,-20346183.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,798422400,6,1352
The Horseman on the Roof,7.1,45708389.06,17140645.9,1320043,-44388346.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,812937600,1,2037
Forget Paris,6.5,22607802.13,5651950.532,33177694,10569891.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,800841600,4,266
Mad Love,5.4,22607802.13,5651950.532,15453274,-7154528.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,801446400,4,434
The Hunted,6,20000000,7500000,6609661,-13390339,9000000,6000000,1500000,800000,2500000,793584000,0,462
Restoration,6.6,19000000,3325000,4005941,-14994059,10450000,1425000,1425000,760000,2375000,823219200,3,2242
Al di là delle nuvole,6.5,22914608.79,4010056.539,31738,-22882870.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,814752000,6,812
My Family,7.3,5500000,962500,11079373,5579373,3575000,412500,412500,220000,687500,799459200,6,1246
The Brothers McMullen,6.6,238000,59500,10426506,10188506,130900,17850,17850,9520,29750,808099200,4,1047
The Last Supper,6.8,22607802.13,5651950.532,459749,-22148053.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,828662400,4,349
Bushwhacked,5.6,45708389.06,17140645.9,7919823,-37788566.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,807494400,1,555
La Cérémonie,7.5,22363565.63,4472713.126,873196,-21490369.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,851040000,5,1038
The Addiction,6.5,22914608.79,4010056.539,307308,-22607300.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,812937600,6,1613
Last of the Dogmen,7,45708389.06,17140645.9,7024389,-38684000.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,810518400,1,2634
The Englishman Who Went Up a Hill But Came Down a Mountain,6.6,40997769,10249442.25,10904930,-30092839,22548772.95,3074832.675,3074832.675,1639910.76,5124721.125,800236800,4,1011
Jack & Sarah,6.7,22607802.13,5651950.532,218626,-22389176.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,827452800,4,2210
The Flower of My Secret,7,22607802.13,5651950.532,1104622,-21503180.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,826243200,4,1739
Blue in the Face,6.7,2000000,500000,1268636,-731364,1100000,150000,150000,80000,250000,813542400,4,967
Bye Bye Love,6.2,22607802.13,5651950.532,12096673,-10511129.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,795398400,4,1804
The Mangler,4.3,12825159.09,3206289.773,1781383,-11043776.09,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,794188800,10,2244
Jeffrey,6.8,22607802.13,5651950.532,3487767,-19120035.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,808704000,4,2520
Angus,6.7,22607802.13,5651950.532,4821759,-17786043.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,811123200,4,400
Party Girl,6.5,150000,37500,472370,322370,82500,11250,11250,6000,18750,802656000,4,2058
Operation Dumbo Drop,5.1,58084599.21,21781724.7,24670346,-33414253.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,806889600,0,565
Losing Isaiah,6.4,17000000,2975000,7603766,-9396234,11050000,1275000,1275000,680000,2125000,795398400,6,1224
The Underneath,6.1,6500000,1300000,536023,-5963977,3575000,975000,487500,390000,812500,799027200,5,2120
The Pebble and the Penguin,5.6,28000000,5600000,3983912,-24016088,9800000,12600000,2800000,1400000,3500000,797644800,2,1769
Fluke,6.7,15000000,2625000,3987768,-11012232,9750000,1125000,1125000,600000,1875000,802051200,6,1804
Houseguest,6,10500000,2625000,26325256,15825256,5775000,787500,787500,420000,1312500,789350400,4,2461
Bad Company,5.4,15000000,3000000,3674841,-11325159,8250000,2250000,1125000,900000,1875000,790560000,5,746
The White Balloon,7.7,150000,26250,924940,774940,97500,11250,11250,6000,18750,987724800,6,29
Georgia,6.6,22914608.79,4010056.539,1110104,-21804504.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,818380800,6,1185
Land and Freedom,7.6,22914608.79,4010056.539,228800,-22685808.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,827452800,6,1019
White Man's Burden,5.3,7000000,1225000,3734870,-3265130,4550000,525000,525000,280000,875000,817776000,6,1319
Never Talk to Strangers,5.2,6400000,1280000,6858261,458261,3520000,960000,480000,384000,800000,814147200,5,2186
Top Dog,4.2,6000000,2250000,5093707,-906293,2700000,1800000,450000,240000,750000,799027200,0,472
The Incredibly True Adventure of Two Girls in Love,6.5,250000,62500,2210408,1960408,137500,18750,18750,10000,31250,803260800,4,1569
Jury Duty,4.3,22607802.13,5651950.532,17014653,-5593149.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,797644800,4,2100
Rumpelstiltskin,4.5,3000000,750000,44331874.3,41331874.3,1650000,225000,225000,120000,375000,817171200,4,1808
An Awfully Big Adventure,5.9,4000000,1000000,259724,-3740276,2200000,300000,300000,160000,500000,806284800,4,1011
To vlemma tou Odyssea,7.6,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,878342400,6,967
Dr. Jekyll and Ms. Hyde,4.5,8000000,2000000,2763020,-5236980,4400000,600000,600000,320000,1000000,809308800,4,2395
Jefferson in Paris,5.7,14000000,2450000,2473668,-11526332,7700000,1050000,1050000,560000,1750000,796608000,3,1992
Three Wishes,6.1,10000000,1750000,7027517,-2972483,6500000,750000,750000,400000,1250000,814752000,6,2074
Far from Home: the Adventures of Yellow Dog,6.4,45708389.06,17140645.9,11642946,-34065443.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,789955200,1,1216
New Jersey Drive,6.7,5000000,1000000,3565508,-1434492,2750000,750000,375000,300000,625000,798249600,5,2426
The Star Maker,7.4,22914608.79,4010056.539,371674,-22542934.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,826243200,6,2402
La fille seule,6.9,22914608.79,4010056.539,230049,-22684559.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,846633600,6,2733
Magic in the Water,5.5,45708389.06,17140645.9,2680717,-43027672.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,809740800,1,1747
Miami Rhapsody,5.4,22607802.13,5651950.532,5221281,-17386521.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,791164800,4,2356
Antonia's Line,7.5,22607802.13,5651950.532,4249321,-18358481.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,823219200,4,2763
Rough Magic,5.5,22607802.13,5651950.532,247202,-22360600.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,864950400,4,319
Beyond Rangoon,6.6,23000000,8625000,5750110,-17249890,10350000,6900000,1725000,920000,2875000,809308800,0,2066
The Amazing Panda Adventure,5.8,45708389.06,17140645.9,7506759,-38201630.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,809308800,1,2496
Nelly & Monsieur Arnaud,7.3,22914608.79,4010056.539,955708,-21958900.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,835315200,6,774
The Walking Dead,4.9,15000000,5625000,6014341,-8985659,6750000,4500000,1125000,600000,1875000,793584000,0,88
Panther,6.4,22914608.79,4010056.539,6834525,-16080083.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,799459200,6,1413
Space Jam,6.5,80000000,16000000,230418342,150418342,28000000,36000000,8000000,4000000,10000000,848016000,2,1868
Independence Day,7,75000000,28125000,817400891,742400891,33750000,22500000,5625000,3000000,9375000,836352000,0,2762
Romeo + Juliet,6.7,14500000,2537500,147554998,133054998,9425000,1087500,1087500,580000,1812500,846806400,6,1596
Scream,7.3,14000000,3500000,173046663,159046663,6300000,2100000,1050000,840000,1750000,851040000,10,1985
Sleepers,7.6,44000000,8800000,165615285,121615285,24200000,6600000,3300000,2640000,5500000,845596800,5,2241
From Dusk Till Dawn,7.2,19000000,7125000,25837111,6837111,8550000,5700000,1425000,760000,2375000,822009600,0,967
Fargo,8.1,7000000,1400000,60611975,53611975,3850000,1050000,525000,420000,875000,828662400,5,2766
Mission: Impossible,7.1,80000000,30000000,457696391,377696391,36000000,24000000,6000000,3200000,10000000,832723200,0,2636
Matilda,6.9,36000000,9000000,33459416,-2540584,19800000,2700000,2700000,1440000,4500000,838944000,4,562
Trainspotting,8.1,22914608.79,4010056.539,16607872,-6306736.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,839548800,6,804
Twister,6.4,92000000,34500000,494471524,402471524,41400000,27600000,6900000,3680000,11500000,831686400,0,980
Happy Gilmore,7,12000000,3000000,41205099,29205099,6600000,900000,900000,480000,1500000,824428800,4,19
101 Dalmatians,5.7,75000000,28125000,320689294,245689294,33750000,22500000,5625000,3000000,9375000,849052800,1,912
Crash,6.4,9000000,1575000,2671291,-6328709,5850000,675000,675000,360000,1125000,858902400,6,1097
Jerry Maguire,7.3,50000000,12500000,273552592,223552592,27500000,3750000,3750000,2000000,6250000,850435200,4,2636
The Rock,7.4,75000000,28125000,335062621,260062621,33750000,22500000,5625000,3000000,9375000,834105600,0,2387
A Time to Kill,7.5,40000000,8000000,152266007,112266007,22000000,6000000,3000000,2400000,5000000,838166400,5,1803
The Craft,6.4,15000000,2625000,24819936,9819936,9750000,1125000,1125000,600000,1875000,831081600,6,2262
Primal Fear,7.7,30000000,6000000,102616183,72616183,16500000,4500000,2250000,1800000,3750000,828489600,5,2212
Mars Attacks!,6.3,70000000,17500000,101371017,31371017,38500000,5250000,5250000,2800000,8750000,850435200,4,1048
The English Patient,7.4,27000000,4725000,231976425,204976425,17550000,2025000,2025000,1080000,3375000,849830400,6,2169
The Long Kiss Goodnight,6.8,65000000,24375000,89456761,24456761,29250000,19500000,4875000,2600000,8125000,844992000,0,875
Fear,6.2,22914608.79,4010056.539,20831000,-2083608.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,829267200,6,1752
Bottle Rocket,7,7000000,1750000,560069,-6439931,3850000,525000,525000,280000,875000,824860800,4,1691
Stealing Beauty,6.6,10000000,1750000,4762310,-5237690,6500000,750000,750000,400000,1250000,834710400,6,1202
Bound,7.3,4500000,900000,3802260,-697740,2475000,675000,337500,270000,562500,844387200,5,1192
Sling Blade,8,1000000,175000,24444121,23444121,650000,75000,75000,40000,125000,858297600,6,263
The Mirror Has Two Faces,6.6,42000000,10500000,41083864,-916136,23100000,3150000,3150000,1680000,5250000,848016000,4,206
The Birdcage,7.1,31000000,7750000,185260553,154260553,17050000,2325000,2325000,1240000,3875000,826243200,4,2263
That Thing You Do!,6.9,26000000,6500000,34585416,8585416,14300000,1950000,1950000,1040000,3250000,844387200,4,2641
The Island of Dr. Moreau,4.5,40000000,10000000,49627779,9627779,18000000,6000000,3000000,2400000,5000000,840758400,10,613
Kingpin,6.9,27000000,6750000,25023434,-1976566,14850000,2025000,2025000,1080000,3375000,838339200,4,2780
The Hunchback of Notre Dame,7,100000000,20000000,325338851,225338851,35000000,45000000,10000000,5000000,12500000,835315200,2,629
The Frighteners,7.1,30000000,7500000,29359216,-640784,16500000,2250000,2250000,1200000,3750000,837734400,4,1864
Eraser,6.1,100000000,37500000,242295562,142295562,45000000,30000000,7500000,4000000,12500000,835315200,0,180
Striptease,4.5,40000000,10000000,113309743,73309743,22000000,3000000,3000000,1600000,5000000,835920000,4,629
Star Trek: First Contact,7.6,45000000,16875000,146027888,101027888,20250000,13500000,3375000,1800000,5625000,848620800,0,2073
Swingers,7.2,200000,50000,4555020,4355020,110000,15000,15000,8000,25000,860716800,4,2723
Escape from L.A.,5.7,50000000,18750000,25477365,-24522635,22500000,15000000,3750000,2000000,6250000,839548800,0,1543
Beautiful Girls,7.1,22607802.13,5651950.532,10597759,-12010043.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,823824000,4,1791
The Cable Guy,6.1,47000000,11750000,102825796,55825796,25850000,3525000,3525000,1880000,5875000,834710400,4,1236
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.6,3800000,950000,20949601,17149601,2090000,285000,285000,152000,475000,821404800,4,2436
Thinner,5.8,8500000,2550000,15315484,6815484,2975000,3400000,1062500,425000,1062500,846201600,8,2249
Hard Eight,7.2,3000000,600000,222559,-2777441,1650000,450000,225000,180000,375000,857088000,5,2136
The Nutty Professor,5.6,54000000,13500000,273961019,219961019,29700000,4050000,4050000,2160000,6750000,835920000,4,711
Hamlet,7.7,18000000,3150000,4770222,-13229778,11700000,1350000,1350000,720000,2250000,851472000,6,1484
Big Night,7.3,4100000,717500,12008376,7908376,2665000,307500,307500,164000,512500,843177600,6,2672
The Ghost and the Darkness,6.8,55000000,20625000,38619405,-16380595,24750000,16500000,4125000,2200000,6875000,844992000,1,1857
Courage Under Fire,6.6,46000000,17250000,100860818,54860818,20700000,13800000,3450000,1840000,5750000,837129600,0,640
The First Wives Club,6.4,26000000,6500000,181489203,155489203,14300000,1950000,1950000,1040000,3250000,843177600,4,915
Set It Off,6.9,9000000,3375000,41590886,32590886,4050000,2700000,675000,360000,1125000,847238400,0,1060
James and the Giant Peach,6.7,38000000,7600000,28946127,-9053873,13300000,17100000,3800000,1900000,4750000,829267200,2,2095
DragonHeart,6.5,57000000,21375000,115267375,58267375,25650000,17100000,4275000,2280000,7125000,833500800,0,639
Executive Decision,6.4,55000000,20625000,121969216,66969216,24750000,16500000,4125000,2200000,6875000,826848000,0,1543
Bio-Dome,4.4,15000000,3750000,13427615,-1572385,8250000,1125000,1125000,600000,1875000,821404800,4,2100
Jack,5.8,45000000,11250000,58620973,13620973,24750000,3375000,3375000,1800000,5625000,839548800,4,2263
White Squall,6.6,38000000,14250000,10292300,-27707700,17100000,11400000,2850000,1520000,4750000,823219200,1,1162
D3: The Mighty Ducks,5.5,58084599.21,21781724.7,22955097,-35129502.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,844387200,0,757
Broken Arrow,6,50000000,18750000,150270147,100270147,22500000,15000000,3750000,2000000,6250000,823824000,0,1319
Emma,6.7,6000000,1500000,22231658,16231658,3300000,450000,450000,240000,750000,841363200,4,940
